Date	CL1
8/17/93	0.003359462
8/18/93	-0.014508929
8/19/93	-0.000566251
8/20/93	0.024929178
8/24/93	-0.009713977
8/25/93	-0.001634877
8/26/93	0.002183406
8/27/93	0.023965142
8/30/93	-0.003723404
8/31/93	-0.023491725
9/3/93	-0.013355593
9/7/93	-0.037225042
9/8/93	-0.002343292
9/9/93	-0.003523194
9/10/93	-0.012374779
9/13/93	0.011336516
9/14/93	0.000589971
9/15/93	-0.005896226
9/17/93	0.01426025
9/23/93	0.002274019
9/24/93	-0.00340329
9/27/93	0.009106431
9/28/93	0.012972363
9/29/93	0.039532294
9/30/93	0.006427424
10/4/93	-0.011272142
10/5/93	-0.001628664
10/6/93	0.001631321
10/7/93	0.003800217
10/11/93	0.011859838
10/12/93	-0.00319659
10/13/93	-0.003741315
10/14/93	-0.00751073
10/15/93	-0.012432432
10/18/93	-0.007662835
10/19/93	-0.003861004
10/20/93	0.009966777
10/22/93	-0.015258856
10/25/93	-0.030990592
10/26/93	0.001713307
10/27/93	0.00627138
10/28/93	-0.015864023
10/29/93	-0.025906736
11/1/93	0.030141844
11/2/93	-0.017785427
11/3/93	0.02161215
11/4/93	-0.005145798
11/5/93	-0.017816092
11/8/93	-0.022235225
11/9/93	-0.00299222
11/10/93	-0.006602641
11/11/93	0.021148036
11/12/93	-0.010650888
11/15/93	0.002392344
11/16/93	0.000596659
11/18/93	-0.020539906
11/22/93	0.032608696
11/23/93	-0.02748538
11/24/93	-0.015033073
11/30/93	0.007838014
12/1/93	0.003240441
12/2/93	-0.034237726
12/3/93	0.001337793
12/6/93	-0.026720107
12/7/93	0.008922443
12/9/93	0.002741604
12/10/93	0.030075188
12/13/93	-0.03649635
12/14/93	0
12/16/93	-0.012491325
12/17/93	-0.022487702
12/22/93	0.028551532
12/23/93	-0.019634394
12/27/93	-0.024171271
12/28/93	-0.001415428
12/29/93	0.023387668
12/30/93	-0.018698061
1/4/94	0.007554945
1/5/94	0.045671438
1/6/94	0.005215124
1/7/94	-0.006485084
1/10/94	-0.042428198
1/11/94	0.012269939
1/12/94	-0.035016835
1/13/94	0.012561061
1/14/94	0.018607857
1/17/94	0.02165088
1/18/94	-0.015231788
1/20/94	-0.007884363
1/24/94	0.015394913
1/25/94	0
1/26/94	0.019775873
1/27/94	-0.003232062
1/28/94	-0.005188067
1/31/94	-0.009778357
2/1/94	0.048057933
2/2/94	0.007537688
2/3/94	-0.009351621
2/4/94	-0.016362492
2/7/94	-0.02431222
2/8/94	-0.002622951
2/9/94	-0.040105194
2/10/94	-0.002739726
2/11/94	0.010989011
2/14/94	-0.040081522
2/15/94	-0.004953999
2/16/94	-0.009246088
2/17/94	0.021536253
2/18/94	-0.001405481
2/22/94	0.002111189
2/23/94	0.011938202
2/24/94	0.024982651
2/25/94	-0.013540961
2/28/94	-0.006177076
3/2/94	0.006134969
3/3/94	-0.000677507
3/4/94	-0.01220339
3/7/94	-0.032258065
3/8/94	0
3/9/94	0.005673759
3/11/94	0.021216407
3/14/94	0.003462604
3/15/94	0.023464458
3/16/94	0.015509103
3/18/94	0.004048583
3/24/94	0.012080537
3/25/94	0.00331565
3/28/94	-0.069398546
3/29/94	0.017045455
3/30/94	0.004189944
3/31/94	0.028511822
4/4/94	0.067613252
4/5/94	-0.003166561
4/6/94	0.001905972
4/7/94	-0.012048193
4/8/94	-0.000641849
4/11/94	0.019267823
4/12/94	-0.007561437
4/13/94	0.013968254
4/14/94	0.016280526
4/15/94	0.021565003
4/18/94	0.004221954
4/19/94	-0.00960961
4/20/94	0.020012129
4/21/94	-0.011296076
4/22/94	0.030667468
4/25/94	0.005834306
4/26/94	-0.019141531
4/28/94	-0.020106446
4/29/94	0.01991551
5/3/94	-0.015734266
5/4/94	-0.001776199
5/5/94	0.025504152
5/6/94	0.023713129
5/10/94	-0.00676819
5/11/94	0.01362862
5/12/94	0.024089636
5/13/94	-0.003829322
5/17/94	-0.026024363
5/23/94	-0.045454545
5/24/94	-0.007751938
5/25/94	-0.012276786
5/26/94	0.002259887
5/27/94	0.016347238
5/31/94	0.015529673
6/1/94	-0.005461496
6/2/94	0.001098298
6/3/94	-0.00603401
6/6/94	-0.000551876
6/7/94	-0.01987852
6/8/94	0.033239437
6/9/94	0.017993457
6/10/94	-0.010176754
6/13/94	0.016774892
6/14/94	0.008515168
6/15/94	0.048021108
6/16/94	0.002517623
6/17/94	0.040180814
6/20/94	0.001931434
6/21/94	-0.034216867
6/22/94	-0.033433134
6/23/94	0.002581311
6/24/94	-0.005149331
6/27/94	-0.016045549
6/28/94	0.013677012
6/29/94	-0.02283342
6/30/94	0.028677642
7/5/94	0.004608295
7/6/94	-0.019367992
7/7/94	-0.006237006
7/11/94	0.035934292
7/12/94	0.012388503
7/13/94	-0.013705335
7/14/94	0.001488834
7/18/94	-0.019105078
7/22/94	0.011346055
7/25/94	-0.010198878
7/26/94	-0.010303967
7/27/94	0.013014055
7/28/94	0.015930113
7/29/94	0.026808295
8/1/94	0.012315271
8/2/94	-0.019951338
8/3/94	-0.001986097
8/4/94	0.00199005
8/5/94	-0.041211519
8/8/94	0.00569653
8/9/94	-0.006179197
8/10/94	-0.01761658
8/11/94	-0.015822785
8/12/94	-0.032690247
8/15/94	0.008310249
8/16/94	-0.025824176
8/17/94	0.0214326
8/18/94	-0.021535064
8/19/94	-0.007900677
8/22/94	-0.040386803
8/24/94	0.0234055
8/25/94	0.001715266
8/26/94	-0.021689498
8/29/94	0.028588098
8/30/94	-0.01020987
8/31/94	0.006303725
9/1/94	-0.005125285
9/2/94	0.002862049
9/6/94	0.005707763
9/7/94	0.010783201
9/8/94	-0.007860752
9/9/94	-0.007923033
9/12/94	-0.007986309
9/13/94	-0.015526164
9/14/94	-0.023948598
9/15/94	-0.000598444
9/19/94	0.022578728
9/23/94	0.009054895
9/26/94	-0.00897364
9/27/94	-0.006791171
9/28/94	0.007407407
9/29/94	0.016968326
9/30/94	0.022803115
10/4/94	-0.006047279
10/5/94	-0.003871681
10/6/94	0.01332593
10/7/94	0.000547945
10/11/94	-0.016120067
10/12/94	-0.028813559
10/13/94	-0.003490401
10/14/94	-0.009340339
10/17/94	0.005303477
10/18/94	0.009378664
10/19/94	0.011614402
10/20/94	0.006888634
10/24/94	0.004027618
10/25/94	0.007449857
10/26/94	0.021046644
10/27/94	0.011142061
10/28/94	0.004407713
10/31/94	-0.002194185
11/1/94	0.026937878
11/2/94	0.013383298
11/3/94	-0.001584786
11/4/94	-0.007407407
11/7/94	-0.019722814
11/8/94	0.010331702
11/9/94	-0.022604952
11/10/94	0.001651982
11/11/94	-0.008246289
11/14/94	-0.031596452
11/15/94	0.006296508
11/16/94	-0.011945392
11/18/94	-0.0101983
11/22/94	0.014806378
11/23/94	0.018518519
11/29/94	-0.003863135
11/30/94	0
12/1/94	-0.012742382
12/2/94	-0.04657688
12/5/94	-0.008240141
12/6/94	0.005341246
12/7/94	-0.004132231
12/9/94	0.000584112
12/12/94	-0.012842966
12/13/94	0
12/14/94	0.004730928
12/16/94	0.001793186
12/19/94	0.008949881
12/22/94	0.004112808
12/23/94	0.015213575
12/27/94	0.016714697
12/28/94	0.008503401
12/29/94	-0.003934795
12/30/94	0.002257336
1/3/95	-0.018018018
1/4/95	0.002293578
1/5/95	0.013729977
1/6/95	-0.00282167
1/9/95	-0.015280136
1/10/95	-0.001724138
1/11/95	0.020149683
1/12/95	0
1/13/95	-0.011286682
1/16/95	0.020547945
1/17/95	0.024608501
1/18/95	0.022379913
1/20/95	-0.002140182
1/24/95	0.016022099
1/25/95	0
1/26/95	-0.008156607
1/27/95	-0.015899123
1/30/95	0.007799443
1/31/95	0.016583748
2/1/95	0.007069059
2/2/95	0.001079914
2/3/95	0.012944984
2/6/95	-0.010117146
2/7/95	-0.006993007
2/8/95	-0.008667389
2/9/95	-0.003278689
2/10/95	0.012061404
2/13/95	-0.010292524
2/14/95	0.002736727
2/15/95	0.005458515
2/16/95	0.009229099
2/17/95	0.017213556
2/21/95	-0.002644104
2/22/95	-0.012195122
2/23/95	-0.010735373
2/24/95	0.014107434
2/27/95	-0.001605136
2/28/95	-0.009110397
3/2/95	0.001637555
3/3/95	0.015258856
3/6/95	-0.002147075
3/7/95	0.002151694
3/8/95	-0.01610306
3/9/95	-0.016912166
3/13/95	0.015633724
3/14/95	-0.013743815
3/15/95	0.009476031
3/16/95	0.002760906
3/20/95	0.016429354
3/24/95	-0.007399577
3/27/95	0.01544196
3/28/95	-0.001048768
3/29/95	0.008923885
3/30/95	-0.00364204
3/31/95	0.001044386
4/3/95	-0.007303078
4/4/95	0.007882291
4/5/95	0.019812304
4/6/95	0.010736196
4/7/95	-0.005058169
4/10/95	-0.004067107
4/11/95	0.014803471
4/12/95	-0.016599598
4/13/95	-0.020460358
4/17/95	0.030287206
4/18/95	0.016218956
4/19/95	0.017955112
4/20/95	0.005389515
4/21/95	-0.005360624
4/24/95	-0.014208721
4/25/95	0.008449304
4/26/95	-0.006899951
4/27/95	0.013895782
4/28/95	-0.002447381
5/2/95	-0.02
5/3/95	-0.009955202
5/4/95	0.020110608
5/5/95	0.001971414
5/8/95	-0.001967536
5/10/95	0.007139215
5/11/95	-0.01721519
5/12/95	0.005667182
5/15/95	0.019467213
5/17/95	-0.005976096
5/23/95	-0.002019182
5/24/95	-0.018209408
5/25/95	-0.007727975
5/26/95	-0.029595016
5/30/95	0.004815409
5/31/95	0.005857295
6/1/95	0.000529381
6/2/95	0.012698413
6/5/95	0.005747126
6/6/95	-0.00987013
6/7/95	0.003672613
6/8/95	-0.011500261
6/9/95	-0.005817028
6/12/95	0.003191489
6/13/95	0.002651113
6/14/95	0.00740349
6/15/95	-0.005774278
6/16/95	-0.005279831
6/19/95	-0.032908705
6/20/95	-0.011525796
6/21/95	-0.03053859
6/22/95	0.002290951
6/23/95	-0.000571429
6/26/95	0.008576329
6/27/95	0.007369615
6/28/95	0.011254924
6/29/95	-0.022815804
6/30/95	-0.009111617
7/6/95	0.011059371
7/7/95	-0.01324122
7/11/95	-0.001153403
7/12/95	0.009815242
7/13/95	-0.013722127
7/14/95	0.004057971
7/18/95	0.00872093
7/24/95	0.005360334
7/25/95	0.002962085
7/26/95	0.033668045
7/27/95	-0.000571429
7/28/95	-0.003430532
7/31/95	0.007458405
8/1/95	0.007972665
8/2/95	0.004519774
8/3/95	-0.003374578
8/4/95	-0.000564334
8/7/95	-0.003387916
8/8/95	0.007932011
8/9/95	-0.000562114
8/10/95	0.006186727
8/11/95	-0.001676914
8/14/95	-0.021276596
8/15/95	-0.000572082
8/16/95	0.004579279
